Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgMonthlyCharges,MonthlyChargesToTotalChargesRatio
Male,No,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.599998474121094,2970.300048828125,No,60.61836834343112,0.020065312424458644
Female,No,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.29999923706055,1530.5999755859375,No,51.019999186197914,0.03612962244814544
Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.3499984741211,4749.14990234375,Yes,101.04574260305851,0.020919533077928522
Male,No,Yes,Yes,1,No,,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.200000762939453,30.200000762939453,Yes,30.200000762939453,1.0
Male,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.4501953125,No,88.46458604600694,0.014169197847942686
Female,No,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.69999694824219,1093.0999755859375,Yes,64.29999856387867,0.05918945969563384
Female,Yes,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.3499984741211,6766.9501953125,No,95.30915768045774,0.014238319433895526
Male,Yes,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.64999389648438,No,90.82499694824219,0.5257363237480862
Female,No,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.1500015258789,1874.449951171875,No,69.424072265625,0.03529035356986887
Male,No,No,No,1,Yes,No,No,,,,,,,Month-to-month,No,Bank transfer (automatic),20.200000762939453,20.200000762939453,No,20.200000762939453,1.0
Male,Yes,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,45.25,1.0
Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9000015258789,7251.7001953125,No,100.71805826822917,0.013776079930945612
Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.69999694824219,316.8999938964844,Yes,63.379998779296876,0.21994319435364124
Female,No,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.80000305175781,3548.300048828125,No,77.13695758322011,0.02108051800085552
Male,No,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.3499984741211,3549.25,Yes,104.38970588235294,0.02996407648774279
Female,No,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.8499984741211,1105.4000244140625,Yes,100.49091131036931,0.08851998942734625
Male,No,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.54999923706055,475.70001220703125,No,47.570001220703126,0.10416228287901683
Female,No,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.19999694824219,4872.35009765625,No,69.60500139508929,0.014202591267308462
Female,No,Yes,Yes,17,Yes,No,No,,,,,,,One year,No,Mailed check,20.75,418.25,No,24.602941176470587,0.049611476389719064
Female,No,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.8499984741211,4861.4501953125,No,77.16587611607143,0.016425139673571877
Female,No,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.19999694824219,981.4500122070312,No,75.49615478515625,0.07764022212082691
Female,No,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.699951171875,No,79.72857043207908,0.021629508550983785
Male,No,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,48.5,0.5077319587628866
Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6500015258789,144.14999389648438,Yes,72.07499694824219,0.5594866801298273
Male,No,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.7998046875,No,81.11153470552884,0.018907962372080565
Female,No,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.1500015258789,4254.10009765625,No,61.653624603713766,0.01507957030941083
Female,Yes,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,89.27325581395348,0.023510257245197005
Female,No,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.0999984741211,1426.4000244140625,Yes,95.0933349609375,0.06947560065755709
Female,Yes,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.6500244140625,No,70.1060009765625,0.03965423731599519
Female,Yes,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.6500015258789,633.2999877929688,Yes,79.1624984741211,0.12734881269608375
Female,Yes,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.8499984741211,4456.35009765625,No,74.27250162760417,0.01679625631601236
Male,Yes,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.44999694824219,1752.550048828125,Yes,97.3638916015625,0.054463492789873016
Female,No,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.6500015258789,6311.2001953125,No,100.17778087797619,0.015789390043417048
Male,Yes,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.44999694824219,7076.35009765625,No,107.21742572206439,0.015325696927313106
Female,No,Yes,Yes,34,Yes,Yes,No,,,,,,,Two year,No,Credit card (automatic),24.950000762939453,894.2999877929688,No,26.30294081744026,0.02789891658671855
Female,No,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7001953125,No,109.07916937934027,0.013687815593490776
Female,No,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.10009765625,No,100.15106590757979,0.0213507250568223
Male,No,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9000015258789,5450.7001953125,No,90.84500325520834,0.016493294128191314
Male,No,Yes,No,72,No,,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.099998474121094,2962.0,No,41.138888888888886,0.014213368829885583
Female,No,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.400001525878906,957.0999755859375,No,53.172220865885414,0.05683836894110793
Female,No,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4000015258789,857.25,Yes,95.25,0.11011957016725449
Female,No,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.30000305175781,244.10000610351562,No,81.36666870117188,0.3084801358826075
Male,No,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9000015258789,3650.35009765625,No,77.66702335438829,0.021614365585519477
Female,No,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.19999694824219,2497.199951171875,No,80.55483713457662,0.0317155207820165
Female,No,Yes,Yes,50,Yes,No,No,,,,,,,Two year,No,Bank transfer (automatic),20.149999618530273,930.9000244140625,No,18.61800048828125,0.021645718219003497
Male,No,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.8499984741211,887.3499755859375,No,88.73499755859375,0.08998704081937266
Male,No,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.04999923706055,49.04999923706055,No,49.04999923706055,1.0
Female,No,Yes,Yes,52,Yes,No,No,,,,,,,One year,Yes,Electronic check,20.399999618530273,1090.6500244140625,No,20.974038931039665,0.018704441536587235
Male,Yes,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.5999984741211,7099.0,No,110.921875,0.015720523802524453
Male,No,Yes,Yes,62,Yes,Yes,No,,,,,,,Two year,Yes,Bank transfer (automatic),24.25,1424.5999755859375,No,22.97741896106351,0.017022322347033582
Female,No,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.39999389648438,No,59.133331298828125,0.36358513088583727
Female,Yes,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,109.63392857142857,0.017998208323153353
Female,No,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.650001525878906,2688.85009765625,No,58.45326299252717,0.020696580138248138
Female,No,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.650001525878906,482.25,No,60.28125,0.11332296843106046
Male,Yes,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.300048828125,No,70.37666829427083,0.035404726126677215
Female,No,Yes,Yes,45,Yes,Yes,No,,,,,,,One year,Yes,Credit card (automatic),25.899999618530273,1216.5999755859375,No,27.035555013020833,0.021288837858192744
Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.3499984741211,79.3499984741211,Yes,79.3499984741211,1.0
Female,No,Yes,Yes,11,No,,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.54999923706055,565.3499755859375,No,51.39545232599432,0.08941364008138453
Female,No,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.1500015258789,496.8999938964844,Yes,70.98571341378349,0.1512376785046497
Female,No,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.80000305175781,4327.5,No,103.03571428571429,0.023986135887176848
Female,No,Yes,No,49,Yes,No,No,,,,,,,Two year,Yes,Bank transfer (automatic),20.149999618530273,973.3499755859375,No,19.86428521603954,0.020701700440687195
Male,No,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.30000305175781,918.75,No,102.08333333333333,0.10808163597470238
Female,No,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.150001525878906,2215.449951171875,No,63.29857003348214,0.028052992798598003
Female,No,Yes,Yes,48,Yes,No,No,,,,,,,Two year,No,Bank transfer (automatic),20.649999618530273,1057.0,No,22.020833333333332,0.019536423480161092
Female,No,Yes,Yes,46,Yes,No,No,,,,,,,Two year,Yes,Mailed check,19.950000762939453,927.0999755859375,No,20.15434729534647,0.02151871565990586
Male,No,Yes,No,29,No,,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,34.80172413793103,0.03344067376764925
Male,No,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05000305175781,2570.199951171875,No,85.67333170572917,0.03192358750701375
Male,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.69999694824219,74.69999694824219,No,74.69999694824219,1.0
Male,No,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,86.57954545454545,0.014700091875574223
Female,No,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05000305175781,7107.0,No,109.33846153846154,0.01562544013673249
Male,No,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9000015258789,7459.0498046875,No,103.59791395399306,0.013527192359336465
Female,No,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.94999694824219,927.3499755859375,Yes,77.27916463216145,0.08513506122471008
Male,No,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.8499984741211,4748.7001953125,No,66.88310134242958,0.01407753610979896
Male,No,No,No,5,Yes,No,No,,,,,,,Month-to-month,No,Mailed check,21.049999237060547,113.8499984741211,Yes,22.769999694824218,0.18489239806046515
Male,No,No,No,52,Yes,No,No,,,,,,,Two year,No,Bank transfer (automatic),21.0,1107.199951171875,No,21.29230675330529,0.018966763842224996
Female,Yes,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,100.58,0.03917279777291708
Male,No,No,No,1,Yes,No,No,,,,,,,Month-to-month,No,Mailed check,20.200000762939453,20.200000762939453,No,20.200000762939453,1.0
Female,No,Yes,Yes,1,Yes,No,No,,,,,,,Month-to-month,No,Electronic check,19.450000762939453,19.450000762939453,No,19.450000762939453,1.0
Male,No,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.60009765625,No,94.88421309621711,0.026347902547970557
Female,Yes,Yes,No,66,No,,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.54999923706055,3027.25,No,45.86742424242424,0.015046659257431844
Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85009765625,Yes,111.93897202435662,0.014451151637086218
Male,No,No,No,5,No,,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.299999237060547,100.19999694824219,No,20.039999389648436,0.24251496983191118
Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.1500015258789,7303.0498046875,No,101.43124728732639,0.01426116544611673
Female,No,No,No,32,No,,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.149999618530273,927.6500244140625,No,28.989063262939453,0.03250148097346746
Male,No,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.3499984741211,3921.300048828125,No,91.19302439135174,0.024060897482792082
Male,No,Yes,Yes,72,Yes,No,No,,,,,,,Two year,No,Credit card (automatic),19.399999618530273,1363.25,No,18.93402777777778,0.014230698418140673
Male,No,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.89990234375,Yes,95.25272549715909,0.01846761759214306
Female,No,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95000076293945,3042.25,No,58.50480769230769,0.019048401927172144
Female,No,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.6500015258789,3954.10009765625,No,91.95581622456395,0.02317847279086421
Female,Yes,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.14990234375,Yes,77.51756492820945,0.02667224608361192
Female,No,Yes,Yes,64,No,,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.599998474121094,3423.5,No,53.4921875,0.015948590177923497
Male,No,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.8499984741211,248.39999389648438,No,82.7999979654948,0.361714978590395
Female,No,No,No,36,No,,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.049999237060547,1126.3499755859375,No,31.287499321831596,0.027566919616532203
Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.6500244140625,Yes,106.46500244140626,0.09416239862970302
Female,No,No,No,41,Yes,No,No,,,,,,,Two year,No,Mailed check,20.649999618530273,835.1500244140625,No,20.36951279058689,0.02472609592871439
Male,No,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.19999694824219,2151.60009765625,No,79.68889250578704,0.039598435155794524
Female,No,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.80000305175781,5515.4501953125,No,98.49018205915179,0.018094625011132612
Female,No,No,No,6,Yes,No,No,,,,,,,Month-to-month,No,Mailed check,20.700000762939453,112.75,No,18.791666666666668,0.18359202450500622
Male,No,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4000015258789,229.5500030517578,Yes,76.51666768391927,0.32411239615232573
Female,No,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.70000076293945,350.3500061035156,No,50.050000871930806,0.14471243008330206
Female,No,Yes,Yes,4,Yes,No,No,,,,,,,Month-to-month,No,Mailed check,20.850000381469727,62.900001525878906,No,15.725000381469727,0.3314785353843183
Male,No,No,No,33,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,88.94999694824219,3027.64990234375,No,91.74696673768939,0.02937922144808904
Female,Yes,No,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05000305175781,2135.5,Yes,79.0925925925926,0.036548819036177856
Male,No,Yes,No,72,Yes,Yes,No,,,,,,,Two year,Yes,Bank transfer (automatic),23.549999237060547,1723.949951171875,No,23.943749321831596,0.013660488937658638
Male,No,No,No,1,Yes,No,No,,,,,,,Month-to-month,No,Mailed check,19.75,19.75,No,19.75,1.0
Male,Yes,No,No,71,No,,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,56.45000076293945,3985.35009765625,No,56.13169151628521,0.014164376875230412
Female,No,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.94999694824219,1215.6500244140625,No,93.51154033954327,0.0707029122050729
Female,No,Yes,Yes,25,No,,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.599998474121094,1502.6500244140625,Yes,60.1060009765625,0.03899776895619547
Male,No,No,No,67,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),50.54999923706055,3260.10009765625,No,48.65821041277985,0.015505658637108085
Male,No,No,No,1,No,,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45000076293945,35.45000076293945,Yes,35.45000076293945,1.0
Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.349998474121094,81.25,Yes,40.625,0.5458461350661058
Female,No,No,No,43,Yes,Yes,No,,,,,,,Two year,Yes,Credit card (automatic),25.700000762939453,1188.199951171875,No,27.632557003997093,0.021629356858323845
Female,No,No,No,23,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,No,77.32608695652173,0.04217036828788305
Female,No,Yes,Yes,64,Yes,No,No,,,,,,,Two year,No,Mailed check,20.200000762939453,1277.75,No,19.96484375,0.01580903992403792
Male,No,No,Yes,57,Yes,No,No,,,,,,,Two year,Yes,Mailed check,19.600000381469727,1170.550048828125,No,20.535965768914473,0.016744265143632187
Female,Yes,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.44999694824219,70.44999694824219,Yes,70.44999694824219,1.0
Female,Yes,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.05000305175781,6425.64990234375,No,89.24513753255208,0.013702894553847643
Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.1500015258789,563.6500244140625,Yes,70.45625305175781,0.1262308142359122
Female,No,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101.05000305175781,5971.25,No,97.88934426229508,0.016922755378146588
Male,No,No,No,64,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),84.30000305175781,5289.0498046875,No,82.64140319824219,0.01593859127154478
Male,Yes,Yes,No,71,Yes,Yes,No,,,,,,,Two year,No,Bank transfer (automatic),23.950000762939453,1756.199951171875,No,24.735210579885564,0.013637399743097661
Female,No,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),99.05000305175781,6416.7001953125,No,98.71846454326923,0.015436283453622376
Male,No,No,No,3,Yes,No,No,,,,,,,One year,No,Mailed check,19.600000381469727,61.349998474121094,No,20.4499994913737,0.3194784167718843
Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.650001525878906,45.650001525878906,Yes,45.650001525878906,1.0
Male,No,No,Yes,30,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),64.5,1929.949951171875,No,64.3316650390625,0.0334205557822032
Male,No,Yes,Yes,15,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,69.5,1071.4000244140625,No,71.42666829427084,0.06486839501241268
Female,No,Yes,Yes,8,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,68.55000305175781,564.3499755859375,No,70.54374694824219,0.12146718528796893
Male,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,Yes,93.64285714285714,0.14492753623188406
Female,No,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),108.1500015258789,7930.5498046875,No,113.29356863839286,0.013637137927304211
